x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.28308862,0.55494598,0.29811106,0.01886843,0.00053717,0.00103499,537.14489249,179.93701175,-40.60347789,179.93701175,234.58960008,211.61696121,-40.60347789,211.61696121,299.82412289,12.80911904,-25.75955390,-1.08332963,-25.75955390,75.13165104,38.24870239,-1.08332963,38.24870239,77.71007161
0.28327723,0.55494789,0.29812160,0.01885631,-0.00014514,0.00107527,536.94977526,180.65256287,-40.95361597,180.65256287,234.31985108,212.00066471,-40.95361597,212.00066471,299.25652768,11.97740942,-24.98995688,-0.68050130,-24.98995688,75.83878861,37.60515096,-0.68050130,37.60515096,76.51800991
0.28346574,0.55494307,0.29813256,0.01884571,-0.00080676,0.00111750,536.93285896,181.23269314,-41.14318453,181.23269314,234.15645431,212.25889299,-41.14318453,212.25889299,298.82860616,11.17402973,-24.20679969,-0.31865238,-24.20679969,76.50036910,36.97393069,-0.31865238,36.97393069,75.34909335
0.28365415,0.55493175,0.29814395,0.01883355,-0.00144572,0.00116155,538.75861870,180.31788630,-39.66848421,180.31788630,235.20963630,211.16334330,-39.66848421,211.16334330,299.89955612,10.39912387,-23.41107661,0.00363666,-23.41107661,77.11493718,36.35658968,0.00363666,36.35658968,74.20159974
0.28384241,0.55491416,0.29815579,0.01881698,-0.00206047,0.00120721,538.55194468,181.07016719,-40.03113575,181.07016719,234.89903959,211.57116975,-40.03113575,211.57116975,299.30600886,9.65278624,-22.60377466,0.28786297,-22.60377466,77.68115350,35.75459207,0.28786297,35.75459207,73.07377805
0.28403049,0.55489054,0.29816810,0.01879343,-0.00264992,0.00125424,538.34220090,181.83450774,-40.39796126,181.83450774,234.57419274,211.98723049,-40.39796126,211.98723049,298.70469418,8.93506759,-21.78587283,0.53559296,-21.78587283,78.19780007,35.16931179,0.53559296,35.16931179,71.96387080
0.28421828,0.55486116,0.29818088,0.01876069,-0.00321344,0.00130237,538.82339435,182.02098267,-40.14037221,182.02098267,234.73633452,211.87708248,-40.14037221,211.87708248,298.66573030,8.24598060,-20.95834140,0.74845432,-20.95834140,78.66378522,34.60202701,0.74845432,34.60202701,70.87013547
0.28440570,0.55482627,0.29819414,0.01871696,-0.00375083,0.00135134,538.90567432,182.55360075,-40.24620897,182.55360075,234.60187367,212.07811974,-40.24620897,212.07811974,298.29452482,7.58550534,-20.12214155,0.92812822,-20.12214155,79.07814790,34.05391522,0.92812822,34.05391522,69.79086464
0.28459262,0.55478614,0.29820790,0.01866090,-0.00426227,0.00140084,539.41871181,182.71796773,-39.96337053,182.71796773,234.78586135,211.94260181,-39.96337053,211.94260181,298.27364768,6.95359437,-19.27822513,1.07634196,-19.27822513,79.44006142,33.52604898,1.07634196,33.52604898,68.72440491
0.28477892,0.55474103,0.29822216,0.01859160,-0.00474830,0.00145059,540.10480784,182.73010436,-39.52562057,182.73010436,235.10741095,211.66634134,-39.52562057,211.66634134,298.39183051,6.35017754,-18.42753466,1.19486185,-18.42753466,79.74883667,33.01939235,1.19486185,33.01939235,67.66917443
0.28496445,0.55469118,0.29823692,0.01850861,-0.00520975,0.00150030,540.93840966,182.60717971,-38.95630368,182.60717971,235.55623193,211.26490141,-38.95630368,211.26490141,298.62852311,5.77516643,-17.57100339,1.28548653,-17.57100339,80.00392468,32.53479802,1.28548653,32.53479802,66.62367890
0.28514909,0.55463683,0.29825217,0.01841194,-0.00564765,0.00154971,540.73861655,183.42386456,-39.32988377,183.42386456,235.15437879,211.71593700,-39.32988377,211.71593700,298.00687073,5.22845845,-16.70955557,1.35004054,-16.70955557,80.20491864,32.07300514,1.35004054,32.07300514,65.58652600
0.28533269,0.55457822,0.29826791,0.01830197,-0.00606320,0.00159856,541.32027064,183.53405302,-38.99629514,183.53405302,235.39477471,211.52265950,-38.99629514,211.52265950,298.02787324,4.70994049,-15.84410682,1.39036830,-15.84410682,80.35155529,31.63463778,1.39036830,31.63463778,64.55643830
0.28551513,0.55451557,0.29828414,0.01817946,-0.00645765,0.00164665,545.34097372,180.41541972,-35.53465494,180.41541972,238.67010117,208.38730863,-35.53465494,208.38730863,300.89751064,4.21949213,-14.97556444,1.40832831,-14.97556444,80.44371581,31.22020418,1.40832831,31.22020418,63.53226444
0.28569628,0.55444907,0.29830084,0.01804549,-0.00683228,0.00169378,545.16386750,181.24453763,-35.90010230,181.24453763,238.23631995,208.84568311,-35.90010230,208.84568311,300.28221881,3.75698848,-14.10482795,1.40578775,-14.10482795,80.48142601,30.83009651,1.40578775,30.83009651,62.51298867
0.28587604,0.55437892,0.29831801,0.01790138,-0.00718830,0.00173982,544.99461432,182.07779276,-36.26320871,182.07779276,237.79096263,209.30683710,-36.26320871,209.30683710,299.66953527,3.32230248,-13.23278944,1.38461720,-13.23278944,80.46485606,30.46459143,1.38461720,30.46459143,61.49773867
0.28605431,0.55430531,0.29833564,0.01774862,-0.00752679,0.00178465,544.83420687,182.91434246,-36.62337100,182.91434246,237.33434914,209.77016992,-36.62337100,209.77016992,299.06039289,2.91530678,-12.36033406,1.34668575,-12.36033406,80.39431955,30.12385118,1.34668575,30.12385118,60.48579179
