x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.58636325,0.26083126,0.29724657,0.00336213,0.10364944,-0.00096441,206.43723750,50.88975867,-22.17468067,50.88975867,277.02314925,57.53127543,-22.17468067,57.53127543,244.81247003,67.86418487,11.71670185,11.19562080,11.71670185,7.96198320,5.80722107,11.19562080,5.80722107,28.67776367
0.58639350,0.26186885,0.29723671,0.00271220,0.10386615,-0.00100858,206.63224260,50.97883913,-22.18946765,50.97883913,276.37903059,57.61452403,-22.18946765,57.61452403,244.58271154,67.86014888,12.46065010,11.25864827,12.46065010,8.20438638,5.95232566,11.25864827,5.95232566,28.70152662
0.58641749,0.26290859,0.29722640,0.00211155,0.10407910,-0.00105359,206.82976561,51.06266674,-22.20536360,51.06266674,275.72628789,57.69837813,-22.20536360,57.69837813,244.34885613,67.83956200,13.20963768,11.31869660,13.20963768,8.46616761,6.10035411,11.31869660,6.10035411,28.72410161
0.58643573,0.26395044,0.29721564,0.00155951,0.10429040,-0.00109945,207.02968605,51.14130416,-22.22229446,51.14130416,275.06480847,57.78277421,-22.22229446,57.78277421,244.11079398,67.80268622,13.96311990,11.37578801,13.96311990,8.74766418,6.25117757,11.37578801,6.25117757,28.74551262
0.58644868,0.26499439,0.29720441,0.00105524,0.10450211,-0.00114615,207.23188448,51.21481682,-22.24018536,51.21481682,274.39448105,57.86764354,-22.24018536,57.86764354,243.86841360,67.74979141,14.72054719,11.42994652,14.72054719,9.04918840,6.40466500,11.42994652,6.40466500,28.76578305
0.58645683,0.26604048,0.29719271,0.00059778,0.10471629,-0.00119372,207.43624260,51.28327286,-22.25896080,51.28327286,273.71519597,57.95291232,-22.25896080,57.95291232,243.62160206,67.68115474,15.48136584,11.48119783,15.48136584,9.37102645,6.56068334,11.48119783,6.56068334,28.78493554
0.58646064,0.26708872,0.29718054,0.00018601,0.10493494,-0.00124217,207.64264338,51.34674309,-22.27854476,51.34674309,273.02684554,58.03850174,-22.27854476,58.03850174,243.37024527,67.59706017,16.24501868,11.52956926,16.24501868,9.71343725,6.71909757,11.52956926,6.71909757,28.80299178
0.58646055,0.26813918,0.29716787,-0.00018131,0.10516000,-0.00129152,207.85097109,51.40530098,-22.29886082,51.40530098,272.32932431,58.12432813,-22.29886082,58.12432813,243.11422826,67.49779790,17.01094587,11.57508964,17.01094587,10.07665132,6.87977090,11.57508964,6.87977090,28.81997231
0.58645701,0.26919192,0.29715470,-0.00050555,0.10539336,-0.00134177,208.06111146,51.45902252,-22.31983235,51.45902252,271.62252938,58.21030306,-22.31983235,58.21030306,242.85343543,67.38366386,17.77858562,11.61778926,17.77858562,10.46086985,7.04256483,11.61778926,7.04256483,28.83589639
0.58645044,0.27024704,0.29714103,-0.00078821,0.10563681,-0.00139294,208.27295176,51.50798627,-22.34138258,51.50798627,270.90636071,58.29633349,-22.34138258,58.29633349,242.58775088,67.25495914,18.54737493,11.65769972,18.54737493,10.86626364,7.20733934,11.65769972,7.20733934,28.85078184
0.58644125,0.27130466,0.29712685,-0.00103090,0.10589210,-0.00144504,208.48638089,51.55227323,-22.36343481,51.55227323,270.18072142,58.38232191,-22.36343481,58.38232191,242.31705869,67.11198950,19.31675034,11.69485388,19.31675034,11.29297225,7.37395297,11.69485388,7.37395297,28.86464489
0.58642983,0.27236489,0.29711213,-0.00123531,0.10616084,-0.00149809,208.70128952,51.59196683,-22.38591251,51.59196683,269.44551809,58.46816648,-22.38591251,58.46816648,242.04124326,66.95506483,20.08614863,11.72928578,20.08614863,11.74110314,7.54226297,11.72928578,7.54226297,28.87750009
0.58641654,0.27342787,0.29709688,-0.00140327,0.10644459,-0.00155209,208.91757015,51.62715285,-22.40873949,51.62715285,268.70066111,58.55376121,-22.40873949,58.55376121,241.76018960,66.78449865,20.85500760,11.76103056,20.85500760,12.21073089,7.71212541,11.76103056,7.71212541,28.88936016
0.58640176,0.27449378,0.29708109,-0.00153667,0.10674479,-0.00160704,209.13511726,51.65791935,-22.43184002,51.65791935,267.94606496,58.63899612,-22.43184002,58.63899612,241.47378366,66.60060758,21.62276676,11.79012433,21.62276676,12.70189651,7.88339532,11.79012433,7.88339532,28.90023594
0.58638581,0.27556277,0.29706474,-0.00163748,0.10706275,-0.00166296,209.35382739,51.68435664,-22.45513903,51.68435664,267.18164855,58.72375743,-22.45513903,58.72375743,241.18191268,66.40371086,22.38886805,11.81660414,22.38886805,13.21460683,8.05592679,11.81660414,8.05592679,28.91013628
0.58636901,0.27663503,0.29704783,-0.00170775,0.10739971,-0.00171982,209.57359926,51.70655718,-22.47856221,51.70655718,266.40733550,58.80792772,-22.47856221,58.80792772,240.88446552,66.19412982,23.15275658,11.84050788,23.15275658,13.74883395,8.22957312,11.84050788,8.22957312,28.91906802
