x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.29448238,0.13619507,0.29773334,-0.14109968,0.06373927,0.00705205,321.45540912,45.02906314,8.86887829,45.02906314,235.09000429,54.66352072,8.86887829,54.66352072,295.88802423,6.01297273,15.45831838,11.29285592,15.45831838,42.71218188,32.31576955,11.29285592,32.31576955,82.24055883
0.29307844,0.13684510,0.29780358,-0.13966092,0.06625029,0.00698542,321.08962489,45.13697122,9.20428496,45.13697122,234.94705990,55.11924434,9.20428496,55.11924434,295.22627981,6.32083698,15.62541773,11.57214637,15.62541773,41.50712500,31.94837451,11.57214637,31.94837451,83.63333880
0.29168916,0.13752008,0.29787305,-0.13817097,0.06872775,0.00689961,320.72381098,45.24856696,9.54066972,45.24856696,234.79921601,55.57390010,9.54066972,55.57390010,294.57145247,6.62100409,15.76472926,11.83164665,15.76472926,40.32947424,31.57026673,11.83164665,31.57026673,84.97202944
0.29031502,0.13821966,0.29794157,-0.13663545,0.07117051,0.00679519,320.35886697,45.36372434,9.87768491,45.36372434,234.64653580,56.02742853,9.87768491,56.02742853,293.92401395,6.91201645,15.87682536,12.07061040,15.87682536,39.17913311,31.18196011,12.07061040,31.18196011,86.25418494
0.28895645,0.13894349,0.29800895,-0.13506007,0.07357758,0.00667284,319.99570229,45.48230822,10.21497544,45.48230822,234.48908713,56.47977451,10.21497544,56.47977451,293.28442826,7.19246206,15.96231477,12.28834992,15.96231477,38.05595696,30.78396772,12.28834992,30.78396772,87.47751954
0.28761382,0.13969121,0.29807503,-0.13345056,0.07594802,0.00653340,319.63523344,45.60417485,10.55217970,45.60417485,234.32694231,56.93088714,10.55217970,56.93088714,292.65315075,7.46098139,16.02183895,12.48423901,16.02183895,36.95975616,30.37680042,12.48423901,30.37680042,88.63991618
0.28628744,0.14046245,0.29813962,-0.13181267,0.07828093,0.00637781,319.27838122,45.72917239,10.88893050,45.72917239,234.16017791,57.38071967,10.88893050,57.38071967,292.03062720,7.71627391,16.05606852,12.65771574,16.05606852,35.89029933,29.96096561,12.65771574,29.96096561,89.73943446
0.28497756,0.14125683,0.29820258,-0.13015211,0.08057545,0.00620712,318.92606790,45.85714144,11.22485607,45.85714144,233.98887451,57.82922929,11.22485607,57.82922929,291.41729288,7.95710422,16.06569982,12.80828485,16.06569982,34.84731649,29.53696609,12.80828485,29.53696609,90.77431796
0.28368440,0.14207396,0.29826376,-0.12847459,0.08283070,0.00602249,318.57921425,45.98791564,11.55958102,45.98791564,233.81311653,58.27637705,11.55958102,58.27637705,290.81357169,8.18230784,16.05145160,12.93552008,16.05145160,33.83050220,29.10529890,12.93552008,29.10529890,91.74300092
0.28240807,0.14291344,0.29832303,-0.12678573,0.08504577,0.00582515,318.23873661,46.12132223,11.89272749,46.12132223,233.63299194,58.72212765,11.89272749,58.72212765,290.21987522,8.39079659,16.01406191,13.03906620,16.01406191,32.83951862,28.66645439,13.03906620,28.66645439,92.64411414
0.28114868,0.14377487,0.29838027,-0.12509108,0.08721972,0.00561643,317.90554385,46.25718261,12.22391620,46.25718261,233.44859205,59.16644931,12.22391620,59.16644931,289.63660193,8.58156350,15.95428512,13.11864087,15.95428512,31.87399850,28.22091524,13.11864087,28.22091524,93.47649021
0.27990625,0.14465784,0.29843536,-0.12339612,0.08935154,0.00539768,317.58053436,46.39531299,12.55276758,46.39531299,233.26001131,59.60931356,12.55276758,59.60931356,289.06413623,8.75368741,15.87288906,13.17403618,15.87288906,30.93354811,27.76915565,13.17403618,27.76915565,94.23916799
0.27868076,0.14556190,0.29848822,-0.12170623,0.09144012,0.00517034,317.26459296,46.53552497,12.87890297,46.53552497,233.06734701,60.05069508,12.87890297,60.05069508,288.50284770,8.90633701,15.77065245,13.20512003,15.77065245,30.01775006,27.31164057,13.20512003,27.31164057,94.93139633
0.27747213,0.14648664,0.29853877,-0.12002664,0.09348428,0.00493586,316.95858781,46.67762614,13.20194576,46.67762614,232.87069909,60.49057147,13.20194576,60.49057147,287.95309021,9.03877450,15.64836234,13.21183728,15.64836234,29.12616603,26.84882503,13.21183728,26.84882503,95.55263700
0.27628023,0.14743159,0.29858694,-0.11836249,0.09548270,0.00469570,316.66336738,46.82142074,13.52152262,46.82142074,232.67016988,60.92892310,13.52152262,60.92892310,287.41520119,9.15035877,15.50681188,13.19421054,15.50681188,28.25833939,26.38115353,13.19421054,26.38115353,96.10256686
0.27510488,0.14839629,0.29863268,-0.11671878,0.09743397,0.00445134,316.37975733,46.96671023,13.83726474,46.96671023,232.46586390,61.36573287,13.83726474,61.36573287,286.88950080,9.24054815,15.34679816,13.15234084,15.34679816,27.41379772,25.90905954,13.15234084,25.90905954,96.58107925
0.27394585,0.14938027,0.29867597,-0.11510032,0.09933653,0.00420425,316.10855750,47.11329395,14.14880903,47.11329395,232.25788756,61.80098599,14.14880903,61.80098599,286.37629126,9.30890265,15.16912024,13.08640794,15.16912024,26.59205519,25.43296499,13.08640794,25.43296499,96.98828455
0.27280287,0.15038302,0.29871677,-0.11351177,0.10118872,0.00395588,315.85053888,47.26096972,14.45579937,47.26096972,232.04634902,62.23466981,14.45579937,62.23466981,285.87585610,9.35508575,14.97457736,12.99667043,14.97457736,25.79261488,24.95327989,12.99667043,24.95327989,97.32450996
0.27167561,0.15140404,0.29875508,-0.11195760,0.10298875,0.00370763,315.60644061,47.40953446,14.75788789,47.40953446,231.83135789,62.66677356,14.75788789,62.66677356,285.38845953,9.37886578,14.76396733,12.88346556,14.76396733,25.01497093,24.47040204,12.88346556,24.47040204,97.59029844
0.27056372,0.15244280,0.29879092,-0.11044205,0.10473470,0.00346087,315.37696711,47.55878481,15.05473616,47.55878481,231.61302504,63.09728820,15.05473616,63.09728820,284.91434580,9.38011672,14.53808504,12.74720878,14.53808504,24.25861056,23.98471666,12.74720878,23.98471666,97.78640692
0.26946677,0.15349874,0.29882430,-0.10896912,0.10642456,0.00321689,315.16278518,47.70851771,15.34601649,47.70851771,231.39146240,63.52620613,15.34601649,63.52620613,284.45373864,9.35881868,14.29772108,12.58839307,14.29772108,23.52301602,23.49659622,12.58839307,23.49659622,97.91380360
