x,y,z,dx,dy,dz,k11,k12,k13,k21,k22,k23,k31,k32,k33,d11,d12,d13,d21,d22,d23,d31,d32,d33
0.55460734,-0.00005363,0.30039854,0.03332909,0.03259548,0.00968882,301.51416507,-5.20145006,0.23725327,-5.20145006,287.60505287,-0.04126417,0.23725327,-0.04126417,270.44063026,1.10349948,-0.46816459,2.76553839,-0.46816459,0.90069954,-1.53703808,2.76553839,-1.53703808,8.16399386
0.55489635,0.00032245,0.30050300,0.02367154,0.04294703,0.01122680,301.48591285,-5.91750589,0.31581950,-5.91750589,286.29555226,-0.04720958,0.31581950,-0.04720958,267.64963165,0.96859410,-0.63378373,2.71333117,-0.63378373,1.28461555,-2.14098484,2.71333117,-2.14098484,8.86086966
0.55508077,0.00080531,0.30062308,0.01246509,0.05391093,0.01279368,301.41789399,-6.68210312,0.40869338,-6.68210312,284.94654551,-0.05485275,0.40869338,-0.05485275,264.83948885,0.84209550,-0.77406102,2.64214775,-0.77406102,1.77506955,-2.79427250,2.64214775,-2.79427250,9.61282042
0.55514565,0.00140067,0.30075888,-0.00017462,0.06541498,0.01435097,301.30712712,-7.49678143,0.51696586,-7.49678143,283.55613870,-0.06470690,0.51696586,-0.06470690,262.01029994,0.72477075,-0.88776581,2.55209673,-0.88776581,2.37329297,-3.49527800,2.55209673,-3.49527800,10.41755173
0.55507728,0.00211361,0.30091010,-0.01411181,0.07739394,0.01585915,301.15067567,-8.36292380,0.64166204,-8.36292380,282.12258421,-0.07735198,0.64166204,-0.07735198,259.16239332,0.61723012,-0.97416072,2.44370623,-0.97416072,3.07862057,-4.24143186,2.44370623,-4.24143186,11.27163571
0.55486342,0.00294855,0.30107606,-0.02918213,0.08978251,0.01728027,300.94568796,-9.28173522,0.78371754,-9.28173522,280.64430973,-0.09343409,0.78371754,-0.09343409,256.29635310,0.51990680,-1.03305234,2.31794727,-1.03305234,3.88836251,-5.02918981,2.31794727,-5.02918981,12.17048210
0.55449364,0.00390926,0.30125571,-0.04518634,0.10250915,0.01858033,300.68943806,-10.25422343,0.94395479,-10.25422343,279.11994444,-0.11366334,0.94395479,-0.11366334,253.41304203,0.43304207,-1.06482704,2.17624420,-1.06482704,4.79773359,-5.85403268,2.17624420,-5.85403268,13.10834387
0.55395969,0.00499873,0.30144767,-0.06188746,0.11549215,0.01973129,300.37936610,-11.28118240,1.12306011,-11.28118240,277.54834147,-0.13880998,1.12306011,-0.13880998,250.51362110,0.35667701,-1.07046954,2.02047046,-1.07046954,5.79984649,-6.71049690,2.02047046,-6.71049690,14.07835987
0.55325589,0.00621910,0.30165033,-0.07901219,0.12863822,0.02071250,300.01311702,-12.36317895,1.32156216,-12.36317895,275.92859574,-0.16969895,1.32156216,-0.16969895,247.59956517,0.29065122,-1.05156268,1.85292887,-1.05156268,6.88577297,-7.59223641,1.85292887,-7.59223641,15.07263580
0.55237945,0.00757150,0.30186192,-0.09625721,0.14184400,0.02151142,299.58857636,-13.50054310,1.53981252,-13.50054310,274.26005655,-0.20720291,1.53981252,-0.20720291,244.67267388,0.23460921,-1.01026763,1.67631638,-1.01026763,8.04467354,-8.49211541,1.67631638,-8.49211541,16.08236263
